dateTime;P
2019-12-10 00:00:00;215.43576058627204
2019-12-10 00:00:10;213.51369249565462
2019-12-10 00:00:20;215.7478044416074
2019-12-10 00:00:30;214.5847781125152
2019-12-10 00:00:40;215.54397977146039
2019-12-10 00:00:50;216.80176190989735
2019-12-10 00:01:00;215.95681499544554
2019-12-10 00:01:10;214.08922938656087
2019-12-10 00:01:20;214.33000671485826
2019-12-10 00:01:30;215.72002368865722
2019-12-10 00:01:40;214.67935585053715
2019-12-10 00:01:50;215.56063577072368
2019-12-10 00:02:00;213.8934119563688
2019-12-10 00:02:10;214.27847184416757
2019-12-10 00:02:20;214.8065868030525
2019-12-10 00:02:30;217.37424463942295
2019-12-10 00:02:40;214.63573147045437
2019-12-10 00:02:50;214.99583226391692
2019-12-10 00:03:00;214.4296382449295
2019-12-10 00:03:10;213.05435231281714
2019-12-10 00:03:20;216.03824096640776
2019-12-10 00:03:30;214.27719666610582
2019-12-10 00:03:40;213.1764131049655
2019-12-10 00:03:50;212.71534602927355
2019-12-10 00:04:00;213.53063794048788
2019-12-10 00:04:10;213.76568104500322
2019-12-10 00:04:20;212.98131109688524
2019-12-10 00:04:30;214.41849043455858
2019-12-10 00:04:40;214.33409791170948
2019-12-10 00:04:50;213.61870974145563
2019-12-10 00:05:00;214.81354065514253
2019-12-10 00:05:10;215.70326542111033
2019-12-10 00:05:20;217.53802446267144
2019-12-10 00:05:30;212.50147699267276
2019-12-10 00:05:40;214.2396207626774
2019-12-10 00:05:50;213.11257291973718
2019-12-10 00:06:00;215.05993854564213
2019-12-10 00:06:10;212.7721411639687
2019-12-10 00:06:20;211.43735488911489
2019-12-10 00:06:30;212.95235187813444
2019-12-10 00:06:40;213.8574349396448
2019-12-10 00:06:50;214.3745825459262
2019-12-10 00:07:00;212.91331714886218
2019-12-10 00:07:10;212.78436511099525
2019-12-10 00:07:20;215.16593261228078
2019-12-10 00:07:30;212.90252837483345
2019-12-10 00:07:40;212.21067381277425
2019-12-10 00:07:50;213.70120896422964
2019-12-10 00:08:00;210.39431401950048
2019-12-10 00:08:10;215.7393138406849
2019-12-10 00:08:20;213.85717537300704
2019-12-10 00:08:30;214.20421025769966
2019-12-10 00:08:40;212.5553203315612
2019-12-10 00:08:50;214.9026921081461
2019-12-10 00:09:00;213.0369867720769
2019-12-10 00:09:10;213.55602037016283
2019-12-10 00:09:20;215.0095790919312
2019-12-10 00:09:30;213.6246354639254
2019-12-10 00:09:40;214.13697326268985
2019-12-10 00:09:50;212.0259332328959
2019-12-10 00:10:00;214.3054843182189
2019-12-10 00:10:10;211.47337323916742
2019-12-10 00:10:20;213.0019872825457
2019-12-10 00:10:30;213.040009110915
2019-12-10 00:10:40;214.22874732336274
2019-12-10 00:10:50;212.2747204932554
2019-12-10 00:11:00;212.54715990428122
2019-12-10 00:11:10;213.13173771111576
2019-12-10 00:11:20;213.30579670405376
2019-12-10 00:11:30;211.5044811626399
2019-12-10 00:11:40;212.42853732776243
2019-12-10 00:11:50;212.54577149980616
2019-12-10 00:12:00;213.6908165041268
2019-12-10 00:12:10;211.5790104737963
2019-12-10 00:12:20;212.32814519489116
2019-12-10 00:12:30;212.7793700792573
2019-12-10 00:12:40;210.92542164121065
2019-12-10 00:12:50;212.3326795768188
2019-12-10 00:13:00;212.3813610902461
2019-12-10 00:13:10;211.6183663248226
2019-12-10 00:13:20;212.57785413880072
2019-12-10 00:13:30;210.85692505384878
2019-12-10 00:13:40;212.12829811206103
2019-12-10 00:13:50;210.4233658534174
2019-12-10 00:14:00;212.21901048435936
2019-12-10 00:14:10;212.9595402224653
2019-12-10 00:14:20;212.75961003159188
2019-12-10 00:14:30;211.50297105189549
2019-12-10 00:14:40;210.72139739271122
2019-12-10 00:14:50;210.9972845685087
2019-12-10 00:15:00;211.03871530866985
